Id,Modulo,Nodo,Punto,Especie,Genero,Epiteto,Sexo,Edad,Est Reprod,LP,LO,LCO,LCU,LT,LV,Peso (g),Fecha,Obs
76,0,61,A4,Liomys irroratus,Liomys ,irroratus,H,Ad,SA,28.1,14.8,121,94,215,,42,3/25/2022,Garrapatas rojas pequeñas en el pelaje
77,0,61,B2,Peromyscus sp.,Peromyscus,morfo 1,H,Juv,SC,20.2,15.6,90,85,175,33.3,17,3/25/2022,Morfo gris
70,0,61,B4,Peromyscus sp.,Peromyscus,morfo 1,,,,,,,0,,,,3/25/2022,Recaptura
78,0,61,D2, Peromyscus sp.,Peromyscus,morfo 1,M,Ad,TE,19.3,15.2,42,82,124,37.8,25,3/25/2022,Morfo amarillo
79,1,62,C6,Peromyscus sp.,Peromyscus,morfo 1,M,,,18.9,18.1,76,58,134,29.7,11,28/04/22,Morfo gris
80,1,62,C1,Peromyscus sp.,Peromyscus,morfo 1,M,Juv,TI,20.1,15.1,94,70,164,38.7,20,28/04/22,"Sin parasitos, morfo gris, flancos amarillos"
81,1,62,C2,Peromyscus sp.,Peromyscus,morfo 1,H,Juv,SC,18.6,15.1,94,62,156,34.7,16,28/04/22,"Morfo gris con flancos amarillos, sin parasitos"
82,1,62,C8,Peromyscus sp.,Peromyscus,morfo 1,M,Juv,TI,20.3,12.7,91,61,152,31.4,26,28/04/22,"Morfo gris, flancos amarillos, sin parasitos"
83,1,62,C11,Peromyscus sp.,Peromyscus,morfo 1,H,Ad,Preñada,19.3,18.4,94,69,163,36.8,20,28/04/22,"Mamas desarrolladas, morfo café amarillo"
84,1,62,C12,Peromyscus sp.,Peromyscus,morfo 1,M,Ad,TE,19.2,17.5,103,72,175,35,20,28/04/22,"Morfo café amarillo, sin parasitos"
85,1,62,D2,Peromyscus sp.,Peromyscus,,M,Juv,TI,19.7,16.4,86,67,153,37.5,20,28/04/22,"Morfo gris con café, sin parasitos"
